count	 id	 x	 y	 theta	 theta_deg
30080	 4	 -1.417889	 -0.231927	 -1.502681	 -86.097287
30720	 0	 -1.118431	 -0.251716	 -1.893247	 -108.475090
30720	 1	 -1.173175	 -0.317483	 -1.522045	 -87.206735
30720	 2	 -1.181613	 -0.193064	 -1.786224	 -102.343111
30720	 3	 -1.350939	 -0.309000	 -1.642949	 -94.134050
30720	 4	 -1.288334	 -0.229916	 -1.811930	 -103.815945
31360	 0	 -1.118431	 -0.251716	 -1.893247	 -108.475090
31360	 1	 -1.173175	 -0.317483	 -1.522045	 -87.206735
31360	 2	 -1.181613	 -0.193064	 -1.786224	 -102.343111
31360	 3	 -1.350939	 -0.309000	 -1.642949	 -94.134050
31360	 4	 -1.288334	 -0.229916	 -1.811930	 -103.815945
32000	 0	 -1.014261	 -0.220261	 -1.639608	 -93.942613
32000	 1	 -1.048725	 -0.345453	 -1.585542	 -90.844876
32000	 2	 -1.100428	 -0.165767	 -1.812250	 -103.834291
32000	 3	 -1.215464	 -0.294678	 -1.759552	 -100.814876
32000	 4	 -1.188692	 -0.181787	 -1.998905	 -114.528844
32640	 0	 -1.014261	 -0.220261	 -1.639608	 -93.942613
32640	 1	 -1.048725	 -0.345453	 -1.585542	 -90.844876
32640	 2	 -1.100428	 -0.165767	 -1.812250	 -103.834291
32640	 3	 -1.215464	 -0.294678	 -1.759552	 -100.814876
32640	 4	 -1.188692	 -0.181787	 -1.998905	 -114.528844
33280	 0	 -1.014261	 -0.220261	 -1.639608	 -93.942613
33280	 1	 -1.048725	 -0.345453	 -1.585542	 -90.844876
33280	 2	 -1.100428	 -0.165767	 -1.812250	 -103.834291
33280	 3	 -1.215464	 -0.294678	 -1.759552	 -100.814876
33280	 4	 -1.188692	 -0.181787	 -1.998905	 -114.528844
33920	 0	 -0.898068	 -0.217935	 -1.782107	 -102.107209
33920	 1	 -0.927287	 -0.303115	 -2.126323	 -121.829319
33920	 2	 -0.984122	 -0.130826	 -1.888359	 -108.194978
33920	 3	 -1.077736	 -0.264342	 -1.794190	 -102.799511
33920	 4	 -1.090903	 -0.147469	 -1.880301	 -107.733339
34560	 0	 -0.898068	 -0.217935	 -1.782107	 -102.107209
34560	 1	 -0.927287	 -0.303115	 -2.126323	 -121.829319
34560	 2	 -0.984122	 -0.130826	 -1.888359	 -108.194978
34560	 3	 -1.077736	 -0.264342	 -1.794190	 -102.799511
34560	 4	 -1.090903	 -0.147469	 -1.880301	 -107.733339
35200	 0	 -0.797919	 -0.192260	 -1.761990	 -100.954574
35200	 1	 -0.839558	 -0.271123	 -1.585669	 -90.852144
35200	 2	 -0.857009	 -0.091024	 -1.828643	 -104.773524
35200	 3	 -0.948549	 -0.230913	 -1.815166	 -104.001358
35200	 4	 -0.976352	 -0.114738	 -1.832740	 -105.008264
35840	 0	 -0.797919	 -0.192260	 -1.761990	 -100.954574
35840	 1	 -0.839558	 -0.271123	 -1.585669	 -90.852144
35840	 2	 -0.857009	 -0.091024	 -1.828643	 -104.773524
35840	 3	 -0.948549	 -0.230913	 -1.815166	 -104.001358
35840	 4	 -0.976352	 -0.114738	 -1.832740	 -105.008264
36480	 0	 -0.797919	 -0.192260	 -1.761990	 -100.954574
36480	 1	 -0.839558	 -0.271123	 -1.585669	 -90.852144
36480	 2	 -0.857009	 -0.091024	 -1.828643	 -104.773524
36480	 3	 -0.948549	 -0.230913	 -1.815166	 -104.001358
36480	 4	 -0.976352	 -0.114738	 -1.832740	 -105.008264
37120	 0	 -0.688312	 -0.178791	 -1.693563	 -97.033984
37120	 1	 -0.735897	 -0.265167	 -1.465157	 -83.947321
37120	 2	 -0.728947	 -0.066627	 -1.667535	 -95.542694
37120	 3	 -0.824672	 -0.204534	 -1.725153	 -98.844005
37120	 4	 -0.848047	 -0.087260	 -1.751746	 -100.367670
37760	 0	 -0.688312	 -0.178791	 -1.693563	 -97.033984
37760	 1	 -0.735897	 -0.265167	 -1.465157	 -83.947321
37760	 2	 -0.728947	 -0.066627	 -1.667535	 -95.542694
37760	 3	 -0.824672	 -0.204534	 -1.725153	 -98.844005
37760	 4	 -0.848047	 -0.087260	 -1.751746	 -100.367670
38400	 0	 -0.558860	 -0.157825	 -1.768089	 -101.304013
38400	 1	 -0.610928	 -0.273304	 -1.761190	 -100.908764
38400	 2	 -0.612064	 -0.050050	 -1.713264	 -98.162803
38400	 3	 -0.715684	 -0.184384	 -1.745732	 -100.023093
38400	 4	 -0.725284	 -0.064048	 -1.707265	 -97.819066
39040	 0	 -0.558860	 -0.157825	 -1.768089	 -101.304013
39040	 1	 -0.610928	 -0.273304	 -1.761190	 -100.908764
39040	 2	 -0.612064	 -0.050050	 -1.713264	 -98.162803
39040	 3	 -0.715684	 -0.184384	 -1.745732	 -100.023093
39040	 4	 -0.725284	 -0.064048	 -1.707265	 -97.819066
39680	 0	 -0.558860	 -0.157825	 -1.768089	 -101.304013
39680	 1	 -0.610928	 -0.273304	 -1.761190	 -100.908764
39680	 2	 -0.612064	 -0.050050	 -1.713264	 -98.162803
39680	 3	 -0.715684	 -0.184384	 -1.745732	 -100.023093
39680	 4	 -0.725284	 -0.064048	 -1.707265	 -97.819066
40320	 0	 -0.451342	 -0.125519	 -1.928692	 -110.505924
40320	 1	 -0.496480	 -0.222930	 -1.965404	 -112.609349
